msk_mth_since_last_limit_review,msk_age,msk_bank_tenor,target
181.0,54.0,309.0,0
125.0,58.0,280.0,0
16.0,28.0,124.0,0
14.0,34.5,276.0,0
75.0,42.5,321.0,0
26.0,50.0,420.0,0
34.0,29.0,198.0,0
22.0,59.5,368.0,0
75.0,45.0,307.0,0
10.0,65.0,288.0,0
0.0,64.5,285.0,0
62.0,42.0,296.0,0
5.0,33.5,121.0,1
25.0,36.5,231.0,0
169.0,42.5,239.0,0
4.0,42.0,319.0,0
19.0,41.0,307.0,1
35.0,48.0,267.0,0
4.0,43.5,295.0,0
18.0,71.0,349.0,0
8.0,40.5,297.0,1
10.0,56.0,377.0,0
21.0,44.0,322.0,0
121.0,47.0,305.0,0
23.0,45.5,229.0,0
7.0,30.5,70.0,0
19.0,46.0,203.0,0
2.0,26.0,108.0,0
59.0,34.0,264.0,0
33.0,44.0,344.0,0
19.0,38.0,255.0,0
4.0,38.0,247.0,0
17.0,37.5,293.0,0
0.0,53.0,227.0,0
45.0,31.5,139.0,0
0.0,33.5,241.0,0
68.0,30.0,94.0,0
60.0,45.0,275.0,0
146.0,34.5,283.0,0
9.0,32.0,182.0,0
21.0,34.0,239.0,0
3.0,45.0,244.0,0
51.0,51.0,308.0,0
0.0,48.0,369.0,0
3.0,38.5,182.0,0
9.0,33.0,208.0,0
84.0,56.0,323.0,0
4.0,66.0,283.0,0
4.0,38.0,231.0,0
19.0,36.0,78.0,0
3.0,55.0,331.0,0
12.0,61.0,448.0,0
31.0,34.0,111.0,0
19.0,41.5,297.0,0
2.0,39.0,257.0,0
3.0,26.0,124.0,0
1.0,46.0,370.0,0
19.0,33.0,42.0,1
19.0,50.0,325.0,0
27.0,53.0,417.0,0
46.0,71.0,346.0,0
55.0,74.0,322.0,0
6.0,59.0,253.0,0
13.0,38.5,277.0,0
12.0,33.0,197.0,0
30.0,38.0,273.0,0
31.0,33.0,148.0,0
19.0,26.0,19.0,0
19.0,41.0,265.0,0
28.0,28.0,72.0,0
15.0,47.0,59.0,0
1.0,48.5,287.0,0
16.0,38.0,146.0,0
108.0,65.0,302.0,0
28.0,43.0,321.0,0
7.0,42.0,289.0,0
4.0,36.0,217.0,0
6.0,57.5,354.0,0
61.0,54.5,363.0,0
0.0,39.0,307.0,0
60.0,48.0,64.0,0
40.0,57.0,285.0,0
44.0,56.5,372.0,0
21.0,52.0,406.0,0
2.0,39.0,327.0,0
29.0,29.0,196.0,0
60.0,41.0,344.0,0
0.0,36.0,263.0,0
0.0,54.5,160.0,0
33.0,30.5,119.0,0
11.0,20.5,61.0,0
46.0,33.0,85.0,0
169.0,62.5,302.0,0
48.0,45.0,318.0,0
1.0,50.0,347.0,0
4.0,56.0,389.0,0
8.0,28.5,116.0,0
39.0,55.0,309.0,0
77.0,65.0,369.0,0
8.0,34.0,26.0,0
6.0,67.5,362.0,0
56.0,35.0,101.0,0
62.0,59.0,205.0,0
14.0,39.0,321.0,0
19.0,30.0,119.0,0
23.0,60.0,323.0,0
45.0,35.0,155.0,0
3.0,37.0,219.0,0
14.0,42.0,285.0,0
14.0,53.0,317.0,0
19.0,51.5,296.0,1
19.0,49.0,396.0,0
4.0,40.0,141.0,0
48.0,50.5,378.0,0
116.0,36.5,262.0,0
190.0,51.0,312.0,0
56.0,43.0,234.0,0
16.0,33.5,238.0,0
19.0,57.0,269.0,0
23.0,47.0,161.0,0
46.0,53.0,281.0,0
24.0,24.0,58.0,0
19.0,48.0,258.0,0
56.0,34.5,186.0,0
45.0,33.5,176.0,0
0.0,41.0,175.0,0
9.0,40.0,270.0,0
11.0,49.5,148.0,0
27.0,54.0,375.0,0
21.0,38.0,232.0,0
0.0,40.0,64.0,0
15.0,34.5,195.0,0
21.0,47.5,232.0,0
19.0,55.5,293.0,0
71.0,51.5,346.0,0
19.0,29.0,139.0,0
4.0,67.0,433.0,0
19.0,28.5,118.0,0
20.0,25.5,151.0,0
19.0,54.0,303.0,0
18.0,40.5,261.0,0
