,y,six_cycle_mp_num,six_cycle_mp_avg_amt,epp_nbr_12m,epp_avg_amt_12m,alop_nbr_12m,alop_avg_amt_12m,six_bill_low_repay_num,consume_amt_session,consume_num_session
2307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.63,3.0
2308,0.0,0.0,0.0,1.0,223.58,0.0,0.0,3.0,11500.0,1.0
2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5802.41,41.0
2310,0.0,0.0,0.0,1.0,197.17,0.0,0.0,0.0,1194.31,17.0
2311,0.0,0.0,0.0,0.0,0.0,1.0,8333.33,3.0,0.0,0.0
2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.0,1.0
2313,0.0,0.0,0.0,3.0,739.0,0.0,0.0,6.0,0.0,0.0
2314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.96,2.0
2315,0.0,0.0,0.0,0.0,0.0,1.0,333.33,0.0,7981.01,4.0
2316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,1.0
2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8236.0,2.0
2318,0.0,0.0,0.0,1.0,2333.33,0.0,0.0,0.0,18921.8,3.0
2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2516.0,1.0
2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,1.0
2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10059.0,1.0
2323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6643.0,2.0
2324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22736.49,12.0
2325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14940.0,4.0
2326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4207.0,4.0
2327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.0,1.0
2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12455.0,4.0
2329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443.29,26.0
2330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,6.0
2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1405.0,1.0
2332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6111.0,1.0
2333,0.0,1.0,29935.77,3.0,6661.31,1.0,2500.0,2.0,17182.32,2.0
2334,0.0,0.0,0.0,0.0,0.0,6.0,8750.0,4.0,1600.0,1.0
2335,0.0,2.0,2759.295,26.0,4144.05,8.0,9333.33,3.0,0.0,0.0
2336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3735.85,6.0
2337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5843.1,4.0
2338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14499.0,2.0
2339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760.1,5.0
