var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
this_bill_rate,"(1.00978266658,+INF)",389,92.0,297.0,0.051866666666666665,0.2365038560411311,0.22270581709174028,0.002745379156862338,0.4117258794968444
this_bill_mp,"(-INF,517.8770000000002]",750,16.0,734.0,0.1,0.021333333333333333,-2.4312655640442897,0.2708222650394917,0.3066557486945007
this_bill_mp,"(517.8770000000002,1086.1223]",668,150.0,518.0,0.08906666666666667,0.2245508982035928,0.1553091540427911,0.0022491106875572905,0.3066557486945007
this_bill_mp,"(1086.1223,1640.4917999999998]",510,100.0,410.0,0.068,0.19607843137254902,-0.01633758902342284,1.806103326018669e-05,0.3066557486945007
this_bill_mp,"(1640.4917999999998,1900.0]",452,78.0,374.0,0.06026666666666667,0.17256637168141592,-0.1728973274643747,0.0017083247590096863,0.3066557486945007
this_bill_mp,"(1900.0,2596.96]",379,97.0,282.0,0.05053333333333333,0.2559366754617414,0.32745321247245507,0.005952747263201487,0.3066557486945007
this_bill_mp,"(2596.96,3509.5075]",462,110.0,352.0,0.0616,0.23809523809523808,0.23149844378369486,0.003531856528495573,0.3066557486945007
this_bill_mp,"(3509.5075,4975.714400000001]",664,150.0,514.0,0.08853333333333334,0.22590361445783133,0.16306112934477332,0.0024698975184486173,0.3066557486945007
this_bill_mp,"(4975.714400000001,6991.1764]",565,108.0,457.0,0.07533333333333334,0.1911504424778761,-0.047902828073095934,0.00017037414399377008,0.3066557486945007
this_bill_mp,"(6991.1764,8758.67]",388,96.0,292.0,0.05173333333333333,0.24742268041237114,0.2822437169897322,0.004471838450531361,0.3066557486945007
this_bill_mp,"(8758.67,10450.0]",404,77.0,327.0,0.05386666666666667,0.1905940594059406,-0.05150512756371646,0.00014068187694902718,0.3066557486945007
this_bill_mp,"(10450.0,14202.056399999998]",500,120.0,380.0,0.06666666666666667,0.24,0.24196968882648895,0.004188255719037079,0.3066557486945007
